YYYYMM,행정동코드,년도,월,행정동_명칭,자치구_명칭,생활비용지수_등급,생활비용지수
202501,1165056000,2025,1,반포1동,서초구,2,9.528291175556072
202501,1165057000,2025,1,반포2동,서초구,3,9.37683250068718
202501,1165058000,2025,1,반포3동,서초구,2,10.012470950986042
202501,1165058100,2025,1,반포4동,서초구,2,9.502675815097447
202501,1165059000,2025,1,방배본동,서초구,3,9.430548369988008
202501,1165060000,2025,1,방배1동,서초구,2,9.61507962760552
202501,1165061000,2025,1,방배2동,서초구,3,9.40208568640691
202501,1165062000,2025,1,방배3동,서초구,3,9.23686752316942
202501,1165062100,2025,1,방배4동,서초구,3,9.32941455688688
202501,1165065100,2025,1,양재1동,서초구,3,9.341967678123204
202501,1165065200,2025,1,양재2동,서초구,3,9.47337707764795
202501,1165066000,2025,1,내곡동,서초구,4,8.40278016575997
202501,1168051000,2025,1,신사동,강남구,2,10.1532565069982
202501,1168052100,2025,1,논현1동,강남구,2,9.872443476046966
202501,1168053100,2025,1,논현2동,강남구,2,9.789567075152377
202501,1168054500,2025,1,압구정동,강남구,2,10.2503100083919
202501,1168056500,2025,1,청담동,강남구,2,10.076552674577504
202501,1168058000,2025,1,삼성1동,강남구,2,9.97684131643928
202501,1168059000,2025,1,삼성2동,강남구,3,9.43449918506791
202501,1168060000,2025,1,대치1동,강남구,2,9.946106075459694
202501,1168061000,2025,1,대치2동,강남구,2,9.804850065704956
202501,1168063000,2025,1,대치4동,강남구,2,9.879634724545904
202501,1168064000,2025,1,역삼1동,강남구,2,9.954260774806798
202501,1168065000,2025,1,역삼2동,강남구,3,9.396266907754056
202501,1168065500,2025,1,도곡1동,강남구,3,9.41896402504648
202501,1168065600,2025,1,도곡2동,강남구,2,9.672557541807372
202501,1168066000,2025,1,개포1동,강남구,5,7.103315285352048
202501,1168067000,2025,1,개포2동,강남구,3,9.063615507132498
202501,1168069000,2025,1,개포4동,강남구,3,9.06373964159221
202501,1168070000,2025,1,세곡동,강남구,3,8.913145877530281
202501,1168072000,2025,1,일원본동,강남구,3,8.733732276290912
202501,1168073000,2025,1,일원1동,강남구,3,9.279633294556538
202501,1168074000,2025,1,일원2동,강남구,1,11.557652933104114
202501,1168075000,2025,1,수서동,강남구,2,9.600347430344794
202501,1171051000,2025,1,풍납1동,송파구,3,8.707925460898256
202501,1171052000,2025,1,풍납2동,송파구,3,8.69095642428113
202501,1171053100,2025,1,거여1동,송파구,3,9.0057702085954
202501,1171053200,2025,1,거여2동,송파구,3,8.955802313291743
202501,1171054000,2025,1,마천1동,송파구,3,9.34336574254277
202501,1171055000,2025,1,마천2동,송파구,3,9.17716680972522
202501,1171056100,2025,1,방이1동,송파구,3,9.322530557756115
202501,1171056200,2025,1,방이2동,송파구,3,9.438698214371698
202501,1171056600,2025,1,오륜동,송파구,3,8.612343408131085
202501,1171057000,2025,1,오금동,송파구,3,9.118877476701014
202501,1171058000,2025,1,송파1동,송파구,3,9.269009438055468
202501,1171059000,2025,1,송파2동,송파구,3,9.076054666291023
202501,1171060000,2025,1,석촌동,송파구,3,9.369105245332944
202501,1171061000,2025,1,삼전동,송파구,3,9.230025375233405
