행정동코드,행정동이름,AREA_M2,LAT,LON
1159052000,노량진제2동,661468,126.938,37.51093
1159053000,상도제1동,1431135,126.95347,37.49833
1159054000,상도제2동,776948,126.94206,37.50367
1159055000,상도제3동,673241,126.93335,37.49723
1159056000,상도제4동,968511,126.94076,37.49743
1159060500,흑석동,2097147,126.96376,37.5063
1159062000,사당제1동,632726,126.97741,37.47972
1159063000,사당제2동,3039007,126.97519,37.49823
1159064000,사당제3동,894355,126.97086,37.48881
1159065000,사당제4동,427255,126.97077,37.48059
1159065100,사당제5동,661737,126.96504,37.4858
1159066000,대방동,1587711,126.92803,37.50711
1159067000,신대방제1동,684048,126.91071,37.48995
1159068000,신대방제2동,1033193,126.92153,37.49431
1162052500,보라매동,762164,126.93259,37.49036
1162054500,청림동,316540,126.95957,37.48941
1162056500,성현동,686448,126.95117,37.48951
1162057500,행운동,723778,126.96062,37.4809
1162058500,낙성대동,2342295,126.96005,37.46723
1162059500,청룡동,1217892,126.94588,37.47805
1162060500,은천동,734719,126.94221,37.48682
1162061500,중앙동,380017,126.95062,37.48412
1162062500,인헌동,706179,126.96662,37.47208
1162063000,남현동,4235911,126.97664,37.46247
1162064500,서원동,631090,126.93344,37.4806
1162065500,신원동,576667,126.9267,37.4793
1162066500,서림동,762657,126.93921,37.47355
1162068500,신사동,605859,126.91875,37.48563
1162069500,신림동,507637,126.92761,37.4869
1162071500,난향동,800353,126.91827,37.46159
1162072500,조원동,648305,126.90753,37.48294
1162073500,대학동,8316533,126.94848,37.45347
1162074500,삼성동,2589521,126.93014,37.46067
1162076500,미성동,1341134,126.91543,37.47594
1162077500,난곡동,1014887,126.92105,37.4705
1165051000,서초1동,1371823,127.02014,37.48696
1165052000,서초2동,1234893,127.02791,37.48882
1165053000,서초3동,3010786,127.00959,37.48543
1165053100,서초4동,876369,127.01996,37.49899
1165054000,잠원동,1837867,127.01304,37.51764
1165055000,반포본동,1539963,126.98648,37.50629
1165056000,반포1동,1009783,127.01663,37.50551
1165057000,반포2동,1242525,126.9957,37.50638
1165058000,반포3동,1309158,127.00359,37.51241
1165058100,반포4동,1458521,127.00329,37.49958
1165059000,방배본동,659648,126.98777,37.49495
1165060000,방배1동,698070,126.9963,37.48491
1165061000,방배2동,1934493,126.98849,37.47301
1165062000,방배3동,2412263,126.9979,37.47432
1165062100,방배4동,941537,126.99099,37.48982
1165065100,양재1동,5738915,127.02253,37.46956
1165065200,양재2동,7433699,127.04591,37.45115
1165066000,내곡동,13138298,127.07055,37.45652
1168051000,신사동,1741768,127.0214,37.52572
1168052100,논현1동,1246164,127.0265,37.51191
1168053100,논현2동,1440614,127.03622,37.51521
1168054500,압구정동,2512082,127.03348,37.53027
1168056500,청담동,2355811,127.0505,37.52454
1168058000,삼성1동,1925054,127.06063,37.5154
1168059000,삼성2동,1258529,127.04876,37.51184
1168060000,대치1동,807837,127.05897,37.49339
1168061000,대치2동,2060695,127.06642,37.50058
1168063000,대치4동,703180,127.0549,37.50166
1168064000,역삼1동,2366859,127.03549,37.50089
1168065000,역삼2동,1123383,127.04489,37.4985
1168065500,도곡1동,1010321,127.04098,37.48905
1168065600,도곡2동,1031472,127.04965,37.48821
1168066000,개포1동,1741195,127.06471,37.47928
1168067000,개포2동,1586586,127.06763,37.48648
1168069000,개포4동,1583608,127.05324,37.47555
1168070000,세곡동,5912729,127.10435,37.47107
1168072000,일원본동,2426105,127.08467,37.48237
1168073000,일원1동,946206,127.08925,37.49339
