YYYYMM,행정동코드,생활비용지수
202411,1144072000,8.829996091977991
202411,1144073000,8.761979544380312
202411,1144074000,9.16203860416504
202411,1147051000,9.569759391540948
202411,1147052000,8.772984598575306
202411,1147053000,9.26069346261318
202411,1147054000,8.877958122516013
202411,1147055000,9.3996057097539
202411,1147056000,8.874216583308447
202411,1147057000,8.77131233562404
202411,1147058000,8.510860604407544
202411,1147059000,8.93569857154819
202411,1147060000,8.713032042333161
202411,1147061000,9.408547957595037
202411,1147061100,8.566521990860638
202411,1147062000,9.467932473368377
202411,1147063000,9.242527843712043
202411,1147064000,8.743390627595009
202411,1147065000,9.134748888376585
202411,1147067000,8.724300020514942
202411,1147068000,9.233708119982213
202411,1150051000,9.154884100603589
202411,1150052000,9.313223121143649
202411,1150053000,8.504423642474467
202411,1150053500,9.259610098612958
202411,1150054000,9.077137165117634
202411,1150055000,8.523097331403585
202411,1150056000,8.977524187758316
202411,1150057000,8.907566654581792
202411,1150059000,8.695878384728735
202411,1150059100,8.90583096398484
202411,1150059300,8.520945166144383
202411,1150060300,9.260777427790886
202411,1150060400,9.095612161999531
202411,1150060500,8.962385177359991
202411,1150061100,9.430791798603591
202411,1150061500,8.9408144157483
202411,1150062000,8.779942554218053
202411,1150063000,9.125031965701648
202411,1150064000,8.67231436534936
202411,1153051000,8.995108721599951
202411,1153052000,8.644493557051732
202411,1153053000,9.662026482404205
202411,1153054000,9.414390308454356
202411,1153055000,9.142970748382409
202411,1153056000,9.318202428583469
202411,1153059500,9.049930816601131
202411,1153072000,9.090485991632091
202411,1153073000,8.95112528306676
202411,1153074000,8.746707788576222
202411,1153075000,8.726559214551395
202411,1153076000,8.66564863527313
202411,1153077000,8.948113207187296
202411,1153078000,8.492115042455689
202411,1153079000,8.44908590342567
202411,1153080000,6.477992983059007
202411,1154551000,10.025637773543606
202411,1154561000,9.533492563893637
202411,1154562000,8.955851157211889
202411,1154563000,9.064785997838438
202411,1154564000,8.7108454656608
202411,1154567000,9.19666880439392
202411,1154568000,8.071725235286744
202411,1154569000,8.647655080035207
202411,1154570000,8.452992950049472
202411,1154571000,9.041824513888317
202411,1156051500,9.432977725522475
202411,1156053500,9.83538971133759
202411,1156054000,9.95203604817723
202411,1156055000,9.762168428573032
202411,1156056000,9.188815090712444
202411,1156058500,8.5661619207421
202411,1156060500,9.689532489943808
202411,1156061000,9.056522765694266
202411,1156062000,9.14295972601856
202411,1156063000,9.050953270416766
202411,1156065000,9.202852338454935
202411,1156066000,8.620839853103298
202411,1156067000,9.055421794858836
202411,1156068000,9.210830279791782
202411,1156069000,8.762930763999227
202411,1156070000,9.17451702412846
