기준_년분기_코드,행정동코드,당월_매출_금액,당월_매출_건수
20192,1147063000,23543223843,770100
20192,1147064000,25526515833,1568884
20192,1147065000,68554369537,2701149
20192,1147067000,6659846057,164203
20192,1147068000,18668167211,831650
20192,1150051000,47656252139,2273074
20192,1150052000,58620607804,2091429
20192,1150053000,7235382968,419706
20192,1150053500,48182213288,2165104
20192,1150054000,68560362841,3858706
20192,1150055000,11419068781,561068
20192,1150056000,23264764646,1148746
20192,1150057000,27356768736,1354525
20192,1150059000,26901605100,1463736
20192,1150059100,33025798851,1722753
20192,1150059300,21781084074,1312481
20192,1150060300,77850382227,3683309
20192,1150060400,24010930646,1590884
20192,1150060500,5668846654,304106
20192,1150061100,115510560735,3511518
20192,1150061500,24936962644,1398424
20192,1150062000,26697841836,1454272
20192,1150063000,40234674911,2023044
20192,1150064000,20472277202,1020875
20192,1150064100,8905811845,616259
20192,1153051000,29613545404,1815218
20192,1153052000,10656401721,604934
20192,1153053000,148996688925,2344461
20192,1153054000,106929305507,5711098
20192,1153055000,36775074862,2020901
20192,1153056000,63561599618,2990663
20192,1153059500,14704046801,938464
20192,1153072000,44548307204,1614247
20192,1153073000,20817209983,1324023
20192,1153074000,22652116364,1174095
20192,1153075000,18918532207,1208340
20192,1153076000,14733749428,731161
20192,1153077000,30221005637,2147827
20192,1153078000,17085568756,981589
20192,1153079000,9268274378,667359
20192,1154551000,717136417887,18801968
20192,1154561000,180277708781,2731096
20192,1154562000,14328240659,812235
20192,1154563000,31145449119,1486854
20192,1154564000,14973345487,990490
20192,1154567000,62068312241,2771003
20192,1154568000,4449375196,119003
20192,1154569000,9171465806,441641
20192,1154570000,10404277066,581187
20192,1154571000,19852352122,1278321
20192,1156051500,35215697695,2726606
20192,1156053500,209827487839,7725164
20192,1156054000,241914899981,9523427
20192,1156055000,94436626570,3674946
20192,1156056000,42774724895,2904718
20192,1156058500,12357519033,744707
20192,1156060500,91018779584,3771668
20192,1156061000,25715119032,1189365
20192,1156062000,69982341565,1156702
20192,1156063000,28862772961,1159264
20192,1156065000,11092788850,690279
20192,1156066000,2497285354,127605
20192,1156067000,6041791183,210564
20192,1156068000,26134380609,1384224
20192,1156069000,6125951456,497212
20192,1156070000,21280426234,1192422
20192,1156071000,27679466261,1136322
20192,1156072000,93648753527,2073018
20192,1159051000,209695692989,6793680
20192,1159052000,310243213176,5404282
20192,1159053000,49044828243,3438011
20192,1159054000,20941118519,1070685
20192,1159055000,25130016220,1156814
20192,1159056000,19938572660,1312384
20192,1159060500,46811910730,3337772
20192,1159062000,48329282200,2173814
20192,1159063000,55181600311,2563411
20192,1159064000,7509801816,394740
20192,1159065000,19966563174,739754
20192,1159065100,4068811903,335191
20192,1159066000,37513404979,1952055
20192,1159067000,15762021399,868698
20192,1159068000,29667913451,1816395
20192,1162052500,22409144401,1408726
20192,1162054500,3651502702,174205
20192,1162056500,7726546092,605899
20192,1162057500,32364831649,1851158
20192,1162058500,35838193121,1784415
20192,1162059500,121330031107,4769011
20192,1162060500,36483965558,1545532
20192,1162061500,30552910702,1825911
20192,1162062500,27136659026,1561163
