기준_년분기_코드,YYYYMM,행정동코드,행정동_코드_명,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적,아파트_평균_시가
20242.0,202406,1156070000,대림1동,96,634,332,19,0,0,56,262808629
20242.0,202406,1156071000,대림2동,124,863,220,10,0,0,54,170194855
20242.0,202406,1156072000,대림3동,250,1659,345,2,35,0,50,173627070
20242.0,202406,1159051000,노량진1동,164,777,575,236,4,0,67,439684906
20242.0,202406,1159052000,노량진2동,129,656,328,10,0,0,57,450906395
20242.0,202406,1159053000,상도1동,515,2818,1867,343,48,10,62,306390343
20242.0,202406,1159054000,상도2동,258,1397,938,90,108,0,62,372760606
20242.0,202406,1159055000,상도3동,548,3031,1674,60,11,0,59,189244163
20242.0,202406,1159056000,상도4동,636,4244,1105,60,17,0,54,174505848
20242.0,202406,1159060500,흑석동,253,884,869,286,44,26,74,684405949
20242.0,202406,1159062000,사당1동,396,2394,885,31,7,0,54,219552192
20242.0,202406,1159063000,사당2동,209,813,689,338,33,0,71,411815224
20242.0,202406,1159064000,사당3동,306,1579,649,229,37,0,59,310164712
20242.0,202406,1159065000,사당4동,288,1724,465,38,8,1,53,225349572
20242.0,202406,1159065100,사당5동,152,992,235,65,0,0,54,236865044
20242.0,202406,1159066000,대방동,400,2270,1234,69,75,27,59,298699197
20242.0,202406,1159067000,신대방1동,137,752,368,145,73,0,65,364550843
20242.0,202406,1159068000,신대방2동,201,1087,591,55,45,39,63,251765063
20242.0,202406,1162052500,보라매동,373,2346,869,29,2,14,56,172943925
20242.0,202406,1162054500,청림동,86,436,241,157,0,0,65,385697578
20242.0,202406,1162056500,성현동,231,1294,603,251,1,0,62,298426271
20242.0,202406,1162057500,행운동,275,1721,528,83,3,0,54,191099630
20242.0,202406,1162058500,낙성대동,160,866,520,109,6,1,60,208911225
20242.0,202406,1162059500,청룡동,284,1551,659,116,1,0,58,236901122
20242.0,202406,1162060500,은천동,419,2580,792,192,14,0,55,194533013
20242.0,202406,1162061500,중앙동,165,1048,382,30,3,0,55,187439002
20242.0,202406,1162062500,인헌동,558,3411,1071,44,14,0,56,167112659
20242.0,202406,1162063000,남현동,300,1421,1086,172,109,14,68,279230984
20242.0,202406,1162064500,서원동,400,2725,632,17,1,0,50,141892270
20242.0,202406,1162065500,신원동,213,1522,193,9,1,0,45,127885490
20242.0,202406,1162066500,서림동,249,1622,397,82,0,0,53,150101841
20242.0,202406,1162068500,신사동,212,1428,397,20,2,3,53,179861474
20242.0,202406,1162069500,신림동,170,1285,104,2,0,0,39,149769580
20242.0,202406,1162071500,난향동,119,604,349,173,0,0,68,265144367
20242.0,202406,1162072500,조원동,180,1362,339,31,0,0,47,180171868
20242.0,202406,1162073500,대학동,114,772,418,12,0,0,56,190916533
20242.0,202406,1162074500,삼성동,129,882,424,67,0,0,61,217897987
20242.0,202406,1162076500,미성동,430,3197,639,112,75,0,54,181369844
20242.0,202406,1162077500,난곡동,495,4290,408,16,3,0,48,136234258
20242.0,202406,1165051000,서초1동,231,984,571,295,185,169,78,517775264
20242.0,202406,1165052000,서초2동,92,349,328,107,113,55,81,728752470
20242.0,202406,1165053000,서초3동,449,1982,909,591,435,513,87,592793964
20242.0,202406,1165053100,서초4동,102,99,484,358,159,81,105,1515744780
20242.0,202406,1165054000,잠원동,157,600,571,193,232,82,82,1005807544
20242.0,202406,1165055000,반포본동,101,0,415,467,318,24,106,2672553922
20242.0,202406,1165056000,반포1동,269,1662,575,167,114,186,65,783794215
20242.0,202406,1165057000,반포2동,52,124,261,68,60,96,107,2447858537
20242.0,202406,1165058000,반포3동,68,108,363,188,111,24,97,1852605615
20242.0,202406,1165058100,반포4동,355,698,732,314,490,775,121,790172163
20242.0,202406,1165059000,방배본동,288,1070,412,237,219,514,98,740666457
20242.0,202406,1165060000,방배1동,355,2030,714,182,118,114,62,432020432
20242.0,202406,1165061000,방배2동,349,1404,871,273,91,32,65,528513471
20242.0,202406,1165062000,방배3동,367,1499,592,372,252,230,73,685949227
20242.0,202406,1165062100,방배4동,499,2241,842,357,202,645,82,576507140
20242.0,202406,1165065100,양재1동,465,2520,1265,493,137,261,81,571532117
20242.0,202406,1165065200,양재2동,507,3432,1201,89,94,23,56,302331031
20242.0,202406,1165066000,내곡동,90,453,350,201,4,9,82,892412998
