YYYYMM,행정동코드,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,행정동이름,AREA_M2,LAT,LON,전체승객수,지하철승객수,버스승객수,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적,아파트_평균_시가,M2,KOSPI,HOUSE_SALE,RENT_SALE,FX,생활인구합계
202408,1121574000,55728620211.0,2328110.0,41423980367.0,14304639844.0,28405309823.0,25073982925.0,중곡제1동,590812,127.07772,37.56204,143985,0,143985,249,1645,405.0,23,14.0,0.0,51.0,188044024,3834303.6,2647.99,91.47,96.173,1354.15,11535503
202408,1121575000,39458484421.0,1703977.0,30901469718.0,8557014704.0,19275021624.0,17875894201.0,중곡제2동,544506,127.08459,37.55891,182094,0,182094,387,2601,589.0,23,1.0,0.0,50.0,185506401,3834303.6,2647.99,91.47,96.173,1354.15,13505873
202408,1121576000,19273729318.0,1139408.0,14785318607.0,4488410711.0,10467747044.0,8108028712.0,중곡제3동,602735,127.08197,37.56785,470187,303919,166268,243,1788,263.0,11,0.0,0.0,47.0,176263103,3834303.6,2647.99,91.47,96.173,1354.15,13843351
202408,1121577000,33099841462.0,1644142.0,23691254305.0,9408587157.0,16236230983.0,16254983225.0,중곡제4동,2284644,127.09445,37.56391,113943,0,113943,623,3997,1109.0,59,11.0,0.0,52.0,170253171,3834303.6,2647.99,91.47,96.173,1354.15,13191842
202408,1121578000,23771365128.0,968150.0,16838382356.0,6932982772.0,12362522551.0,9897296355.0,능동,1083377,127.08165,37.55066,1341512,1132962,208550,170,1292,223.0,14,4.0,0.0,44.0,203223348,3834303.6,2647.99,91.47,96.173,1354.15,11472665
202408,1121581000,40540051665.0,1698561.0,30859899326.0,9680152339.0,17819398885.0,20652384398.0,광장동,2755836,127.10487,37.54828,515595,335655,179940,193,648,898.0,128,211.0,260.0,93.0,701037200,3834303.6,2647.99,91.47,96.173,1354.15,24118221
202408,1121582000,41644330916.0,2187303.0,31598761812.0,10045569104.0,20026262066.0,19612366755.0,자양제1동,565020,127.08042,37.53554,196310,0,196310,368,2684,464.0,38,5.0,5.0,48.0,208444504,3834303.6,2647.99,91.47,96.173,1354.15,18043401
202408,1121583000,17584649171.0,953116.0,13153288323.0,4431360848.0,9906088790.0,6926581800.0,자양제2동,1631119,127.08325,37.52933,222533,0,222533,410,2571,668.0,118,70.0,33.0,54.0,266950759,3834303.6,2647.99,91.47,96.173,1354.15,18680171
202408,1121584000,45035904133.0,2196837.0,32076788178.0,12959115955.0,18413733408.0,24021960668.0,자양제3동,1134722,127.0712,37.53169,208375,0,208375,171,867,722.0,147,44.0,11.0,65.0,503185054,3834303.6,2647.99,91.47,96.173,1354.15,20801387
202408,1121584700,44220566115.0,2172666.0,30871962615.0,13348603500.0,21075639925.0,20342267389.0,자양제4동,1155166,127.06377,37.53389,466196,269420,196776,141,1064,294.0,30,12.0,0.0,47.0,259534026,3834303.6,2647.99,91.47,96.173,1354.15,21837284
